id;name;gender;birth_year;age;day;condition_day;condition;trial;left;right;side.chosen;side.chosen.reli;repetition;repetition.reason;food.received;food.received.reli;food.remaining;food.remaining.reli;searched;searched.reli;seconds.until.searched;seconds.until.searched.reli;value.remaining.seen;value.remaining.seen.reli;turned.away;turned.away.reli;time.from.last.gaze.to.back.of.head.to.camera;time.from.last.gaze.to.back.of.head.to.camera.reli;emotional.displays;comments;;;;;
2;Baluku;male;1998;23;4;no-choice_2;no-choice;1;high;low;right;;;;low;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;4;no-choice_2;no-choice;2;low;none;right;;;;none;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;4;no-choice_2;no-choice;3;none;high;left;;;;none;;high;;yes;;1;;better;;yes;;2;;no;;;;;;
2;Baluku;male;1998;23;4;no-choice_2;no-choice;4;high;low;right;;;;low;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;4;no-choice_2;no-choice;5;none;low;left;;;;none;;low;;yes;;1;;better;;yes;;1;;no;;;;;;
2;Baluku;male;1998;23;4;no-choice_2;no-choice;6;low;high;right;;;;high;;low;;yes;;1;;worse;;yes;;1;;no;came back for another look, video ended early;;;;;
2;Baluku;male;1998;23;6;no-choice_3;no-choice;1;low;low;right;;;;low;;low;;yes;;1;;same;;yes;;2;;no;;;;;;
2;Baluku;male;1998;23;6;no-choice_3;no-choice;2;high;high;right;;;;high;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;6;no-choice_3;no-choice;3;low;none;left;;;;low;;none;;yes;;2;;worse;;yes;;2;;no;;;;;;
2;Baluku;male;1998;23;6;no-choice_3;no-choice;4;none;high;left;;;;none;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;6;no-choice_3;no-choice;5;low;high;right;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;6;no-choice_3;no-choice;6;none;none;right;;;;none;;none;;yes;;1;;same;;yes;;1;;no;about to leave but video cut a little short;;;;;
1;Bwambale;male;2000;21;1;choice_1;choice;1;high;high;right;;;;high;;high;;yes;;2;;same;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;1;choice_1;choice;2;none;low;left;;;;none;;low;;yes;;2;;better;;yes;;3;;no;;;;;;
1;Bwambale;male;2000;21;1;choice_1;choice;3;high;none;left;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;1;choice_1;choice;4;low;low;right;;;;low;;low;;yes;;2;;same;;yes;;2;;no;;;;;;
1;Bwambale;male;2000;21;1;choice_1;choice;5;high;none;right;;;;none;;high;;yes;;2;;better;;no;;NA;;no;;;;;;
1;Bwambale;male;2000;21;1;choice_1;choice;6;none;none;right;;;;none;;none;;yes;;2;;same;;yes;;1;;no;left room but there was no food remaining in box;;;;;
1;Bwambale;male;2000;21;3;choice_2;choice;1;high;low;right;;;;low;;high;;yes;;12;;better;;yes;;5;;yes;screamed a few times;;;;;
1;Bwambale;male;2000;21;3;choice_2;choice;2;low;none;left;;;;low;;none;;yes;;22;;worse;;yes;;2;;no;was leaving but clean up happened early;;;;;
1;Bwambale;male;2000;21;3;choice_2;choice;3;none;high;right;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;3;choice_2;choice;4;high;low;right;;;;low;;high;;yes;;2;;better;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;3;choice_2;choice;5;none;low;left;;;;none;;low;;yes;;1;;better;;yes;;2;;no;;;;;;
1;Bwambale;male;2000;21;3;choice_2;choice;6;low;high;left;;;;low;;high;;yes;;40;;better;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;5;choice_3;choice;1;low;low;left;;;;low;;low;;yes;;9;;same;;yes;;2;;no;;;;;;
1;Bwambale;male;2000;21;5;choice_3;choice;2;high;high;right;;;;high;;high;;yes;;5;;same;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;5;choice_3;choice;3;low;none;left;;;;low;;none;;yes;;22;;worse;;yes;;2;;no;;;;;;
